Kod Geran,Tajuk Penyelidikan,Ketua Penyelidik,Grant Type,Peruntukan (RM),Bulan Tamat,Tahun Tamat,Quartile,Milestone (%),New Verdict,PR Jun 2026
"1","Pemindahan Ilmu Penyelenggaraan Sistem Tenaga Elektrik Solar Fasa-2 : Penggunaan Alat Ukur dan Sistem Pemantauan di Kampung Orang Asli Woh Intake, Tapah","Y","CCIN",50000,"08","2026","2.75",3,"BS - Behind Schedule","NOT COMPLETED"
"2","KTP-MRUN FASA 1/2025: Memperkasa Pedagogi Berasaskan Teknologi dan Etika Kecerdasan buatan (EduPEAK)","Y","CCIN",50000,"05","2026","4.25",1,"FALSE","NOT COMPLETED"
"3","KTP-MRUN FASA 1/2025: PENANAMAN AZOLLA DAN PERTERNAKAN MAMPAN: INISIATIF LESTARI PEMERKASAAN POTENSI DAN EKONOMI KOMUNITI PELAJAR SEKOLAH KURANG UPAYA PROGRAM PENDIDIKAN KHAS INTEGRASI (PPKI) SMK DUSUN NANDING, HULU LANGAT.","Y","CCIN",50000,"05","2026","4.25",2,"FALSE","VERIFIED (RA/FACULTY/HI-COE/INSTTITUTE)"
"4","Odisi HijauX: Jejak Lestari Kitar Semula E-Waste Anda!","Y","CCIN",50000,"01","2026","1.5",3,"PW - Progressing Well","RETURNED BY CCIN CLERK"
"5","KTP-MRUN FASA 1/2025: Transformasi Ekonomi Komuniti FELDA Tenggaroh 7 Melalui Sistem Akuaponik-Lestari dan Wetland Semula Jadi Ke Arah Pembangunan Agroteknologi & Ekopelancongan Komuniti","Y","CCIN",50000,"05","2026","4.25",3,"FALSE","N/A"
"6","KTP-MRUN FASA 1/2025:Pemindahan Teknologi Pemprosesan Sisa Kupang Berasaskan Penyelidikan Universiti ke Arah Keusahawanan Hijau Komuniti Pesisir","Y","CCIN",50000,"05","2026","4.25",5,"Lulus / On-Track","N/A"
"7","Breeding of Mahseer and Local Fish Species","N","CCIN",50000,"12","2026","14.75",50,"PW - Progressing Well","COMPLETED"
"8","COE/RG 3.1: Advanced Offshore Monopod Platform Assessment through 3D Printing: A LiDAR-Driven Experimental Prototype","Y/N","JTNCPI",50000,"05","2026","8.75",2,"FALSE","NOT COMPLETED"
"9","COE/RG 3.2: Model Peramalan Unjuran Kesan Pembangunan Hirarki Bandar dan Sektor Perumahan, Komersial dan Pelancongan","Y/N","JTNCPI",50000,"12","2026","8.75",5,"PW - Progressing Well","DRAFT"
"10","COE/RG 1.0: Revolutionizing Construction: Sustainable and Affordable 3D Printing Materials","Y/N","JTNCPI",50000,"12","2026","8.75",5,"BS - Behind Schedule","VERIFIED (RA/FACULTY/HI-COE/INSTTITUTE)"
"11","COE/RG 2.0: Smart Offshore Docking Station for Integrated Marine Autonomous Transportation System","Y/N","JTNCPI",50000,"05","2026","8.75",2,"FALSE","PENDING"
"12","COE/RG 5.0: Seismic Risk Assessment Based on the Updated Regional and Local Seismic Development Incorporating the Geological and Geotechnical Properties","Y/N","JTNCPI",50000,"05","2026","8.75",1,"FALSE","NOT COMPLETED"
"13","COE/RG 1.2 : TEBRAU RIVER GUARDIANS: ENGAGING COMMUNITIES AND LOCAL AUTHORITIES IN WATER QUALITY MONITORING","Y/N","JTNCPI",50000,"05","2026","8.75",4,"FALSE","PENDING"
"14","COE/RG 2.0: HIGH-PURITY GRAPHENE PRODUCTION VIA OPTIMIZED HIGH-VOLTAGE PLASMA FOR ULTRACAPACITOR APPLICATION","Y/N","JTNCPI",50000,"12","2026","8.75",7,"BS - Behind Schedule","NOT COMPLETED"
"15","COE/RG 3.4: DATA VISUALIZATION AND DASHBOARD FOR REAL-TIME MONITORING OF OFFSHORE PLATFORM INTEGRITY","Y/N","JTNCPI",50000,"05","2026","8.75",2,"FALSE","PENDING"
"16","COE/RG 2.1: Digital Twin of SODS with Marine Autonomous Transportation Systems","Y/N","JTNCPI",50000,"05","2026","8.75",2,"FALSE","PENDING"
"17","COE/RG 3.3: Advanced Digital Twin Model of Offshore Monopod Platform incorporating Real-Time Monitoring Data for Structure Remaining Capacity subject to Corrosion and Wave Impact","Y/N","JTNCPI",50000,"05","2026","8.75",6,"FALSE","COMPLETED"
"18","COE/RG 4.4: Ergonomic Risk Assessment for Improving Posture and Movement in Construction Workers","Y/N","JTNCPI",50000,"05","2026","8.75",1,"FALSE","COMPLETED"
"19","COE/RG 3.2: Structural Health Monitoring in Offshore Monopod Platforms using Data-Driven Approach Integrating Advanced Modeling and Neural Networks for Enhanced Energy Security","Y/N","JTNCPI",50000,"05","2026","8.75",1,"FALSE","COMPLETED"
"20","COE/RG 1.2: Comprehensive Analysis and Optimization under Dynamic Loading Conditions on 3D Printing Building","Y/N","JTNCPI",50000,"12","2026","8.75",4,"PW - Progressing Well","NOT COMPLETED"
"21","COE/RG 2.5: AI-driven LIDAR system to Support Docking Motion","Y/N","JTNCPI",50000,"05","2026","8.75",2,"FALSE","NOT COMPLETED"
"22","COE/RG 5.1: Developing A Seismic Hazard Mapping using Updated Regional and Local Seismic Development for Malaysia","Y/N","JTNCPI",50000,"05","2026","8.75",1,"FALSE","DRAFT"
"23","COE/RG 1.3 : ADAPTIVE POLICY RECOMMENDATIONS VIA THE DYNAMIC ADAPTIVE POLICY PATHWAY APPROACH (DAPP) FOR SUSTAINABLE URBAN RIVER MANAGEMENT OF TEBRAU RIVER","Y/N","JTNCPI",50000,"05","2026","8.75",8,"FALSE","COMPLETED"
"24","COE/RG 4.1: Low-Fidelity Risk Assessment Prototype for Improving Occupational Safety and Health Practices","Y/N","JTNCPI",50000,"05","2026","8.75",50,"FALSE","DRAFT"
